cust_id,x_km,y_km,radius_to_center_km,in_green_zone,tw_start_raw,tw_end_raw,tw_start_min,tw_end_min,order_count,total_weight,total_volume,fuel_forbidden_all_window,fuel_allowed_after_16,fuel_partial_overlap_ban,must_use_ev_under_policy,fuel_service_window_start_min,fuel_service_window_end_min
73,-19.079563342021,3.11570859008743,19.33228846620431,False,13:22,14:17,322,377,29,3003.175394781204,7.5462,False,False,False,False,,
74,-14.4202892616212,0.438615616091085,14.426958308926613,False,13:11,14:10,311,370,24,4418.048633855966,10.93872,False,False,False,False,,
75,17.8559660659719,-34.5128170174245,38.858333245616265,False,14:25,15:45,385,465,21,3017.4406,7.85752,False,False,False,False,,
76,6.17248271231953,-11.9739943806008,13.471305959725768,False,09:09,10:25,69,145,17,1256.3017,4.028616940486278,False,False,False,False,,
77,-8.90340842896458,-33.0969833073601,34.273619384311175,False,18:56,20:17,656,737,17,1968.2667999999999,5.09682,False,False,False,False,,
78,0.735897737284067,-11.817830191293,11.84072024456182,False,19:54,20:55,714,775,20,1882.391,4.7241,False,False,False,False,,
79,6.48665021130649,-18.7369565714111,19.828014840694166,False,09:35,10:45,95,165,17,2315.13,7.3665199999999995,False,False,False,False,,
80,-16.1633724807616,17.956024307724,24.15933399105647,False,17:41,18:34,581,634,9,506.3405000000001,1.9028800000000001,False,False,False,False,,
81,12.7485642351257,-13.9951114455965,18.93116569130893,False,17:04,18:08,544,608,12,1343.6123,3.64803,False,False,False,False,,
82,14.5060829317191,-14.9096560728536,20.802026012691467,False,11:41,13:02,221,302,13,1493.082,4.67276,False,False,False,False,,
83,17.5691594969999,23.7073613386205,29.5078692397628,False,13:48,14:43,348,403,10,926.8409,2.79316,False,False,False,False,,
84,-32.2887483255588,-6.33777906329211,32.904873679842325,False,16:14,17:09,494,549,10,1605.2619000000002,4.36803,False,False,False,False,,
85,5.2885051532574,-10.610672970256,11.855575381977516,False,09:51,11:02,111,182,7,593.8303,1.42095,False,False,False,False,,
86,22.2501851106262,3.36277307745693,22.50286604474197,False,10:06,11:35,126,215,7,532.895,2.84858,False,False,False,False,,
87,-5.07881748714319,-34.9821210394225,35.34887805128358,False,11:18,12:42,198,282,6,180.291,0.46473,False,False,False,False,,
88,10.1634114043108,23.9868549043046,26.051183074352622,False,10:04,11:19,124,199,3,79.6007,0.5374800000000001,False,False,False,False,,
89,-25.5470740390242,-15.4194000905651,29.839753536319687,False,16:11,17:13,491,553,1,46.248,0.2733,False,False,False,False,,
90,-33.6060651581938,2.20467172657312,33.67830448283758,False,13:50,15:09,350,429,4,100.6088,0.22653,False,False,False,False,,
91,-5.63196878175453,-30.3321609421464,30.8505925352971,False,16:40,17:59,520,599,4,70.435,0.39102000000000003,False,False,False,False,,
92,8.28368192850442,17.7735226449337,19.609117611524535,False,14:47,16:07,407,487,4,1524.5124999999998,3.82045,False,False,False,False,,
93,0.746941949932783,-28.7424167151396,28.752120633151666,False,12:52,14:14,292,374,2,97.6961,0.33416999999999997,False,False,False,False,,
94,21.835155243347,-28.7650388212301,36.113729562147675,False,12:43,13:57,283,357,1,9.186,0.01795,False,False,False,False,,
95,-6.22843376493341,-26.8257702440231,27.539341610671773,False,14:25,15:34,385,454,1,109.35,0.29746,False,False,False,False,,
96,-12.3209577741134,10.3641991683692,16.10039207203074,False,16:23,17:52,503,592,0,0.0,0.0,False,False,False,False,,
97,7.2247850453069,-12.1653024302337,14.148925830957635,False,13:42,15:11,342,431,1,17.48,0.04201,False,False,False,False,,
98,-19.3415293006296,-35.0080570685232,39.9957349651196,False,19:18,20:41,678,761,1,25.5,0.0646,False,False,False,False,,
