orig_cust_id,route_ids,route_visit_count,unit_ids,unit_count,unit_type,required_visit_count,served_weight_kg,served_volume_m3,served_vehicle_types,first_service_start_min,in_green_zone,must_use_ev_under_policy,fuel_allowed_after_16,served_by_ev,served_by_fuel
29,30,1,13,1,normal,1,873.945,2.04764,fuel_1500,643.4,False,False,False,0,1
30,16,1,14,1,normal,1,334.852,0.73178,ev_3000,216.9,False,False,False,1,0
31,"94,95,96",3,"71,72,73",3,mandatory_split,3,6771.620800000001,15.44527,fuel_3000,540.6,False,False,False,0,1
32,101,1,15,1,normal,1,442.3342,1.12524,fuel_3000,308.0,False,False,False,0,1
33,100,1,16,1,normal,1,527.2666,1.37982,fuel_3000,210.3,False,False,False,0,1
34,112,1,17,1,normal,1,364.0498,1.5211,fuel_3000,688.4,False,False,False,0,1
35,84,1,18,1,normal,1,1692.5786,3.88436,fuel_3000,171.9,False,False,False,0,1
36,"97,134",2,"74,75",2,mandatory_split,2,3309.2547,10.30776,fuel_3000,436.0,False,False,False,0,1
37,1,1,19,1,normal,1,564.949,1.8194,ev_1250,157.5,False,False,False,1,0
38,29,1,20,1,normal,1,1261.7326,4.06727,fuel_1500,209.7,False,False,False,0,1
39,"9,98,99",3,"76,77,78",3,mandatory_split,3,4024.8916,10.00717,"ev_1250,fuel_3000",405.3,False,False,False,1,1
40,76,1,21,1,normal,1,2691.1358,7.9507,fuel_3000,595.2,False,False,False,0,1
41,77,1,22,1,normal,1,2786.4185,7.943983,fuel_3000,351.0,False,False,False,0,1
42,"10,34,35,100",4,"79,80,81,82",4,mandatory_split,4,6369.325359,15.334832,"ev_1250,fuel_1500,fuel_3000",135.4,False,False,False,1,1
43,"36,37,38,39",4,"83,84,85,86",4,mandatory_split,4,5061.5807,13.61688,fuel_1500,541.5,False,False,False,0,1
44,"40,41,42,43",4,"87,88,89,90",4,mandatory_split,4,4552.3089,11.62403,fuel_1500,542.1,False,False,False,0,1
45,"44,45,46,47",4,"91,92,93,94",4,mandatory_split,4,5799.9256,18.41337,fuel_1500,457.4,False,False,False,0,1
46,"101,102,103",3,"95,96,97",3,mandatory_split,3,3319.8397,10.88662,fuel_3000,193.0,False,False,False,0,1
47,78,1,23,1,normal,1,2803.414845,8.09606,fuel_3000,655.9,False,False,False,0,1
48,"104,105,106",3,"98,99,100",3,mandatory_split,3,8598.7276,21.947164,fuel_3000,539.6,False,False,False,0,1
49,"48,49,50",3,"101,102,103",3,mandatory_split,3,4486.836,13.53895,fuel_1500,318.1,False,False,False,0,1
50,"91,107,108",3,"104,105,106",3,mandatory_split,3,7952.310100000001,21.573381,fuel_3000,730.1,False,False,False,0,1
51,"51,89,109",3,"107,108,109",3,mandatory_split,3,3501.945067,9.75931,"fuel_1500,fuel_3000",573.0,False,False,False,0,1
52,"11,25,52,53,110",5,"110,111,112,113,114",5,mandatory_split,5,6733.774886,17.158517,"ev_1250,ev_3000,fuel_1500,fuel_3000",425.7,False,False,False,1,1
53,"54,111,112",3,"115,116,117",3,mandatory_split,3,6963.8459,18.75874,"fuel_1500,fuel_3000",651.9,False,False,False,0,1
54,"25,28,93,98,99",5,"118,119,120,121,122",5,mandatory_split,5,7432.124593,19.67292,"ev_3000,fuel_1500,fuel_3000",560.0,False,False,False,1,1
55,"55,110,113,114,115",5,"123,124,125,126,127",5,mandatory_split,5,12197.6473,31.991079,"fuel_1500,fuel_3000",597.3,False,False,False,0,1
56,"56,90,116",3,"128,129,130",3,mandatory_split,3,7065.160900000001,17.72942,"fuel_1500,fuel_3000",387.3,False,False,False,0,1
57,"57,58,59,60,61",5,"131,132,133,134,135",5,mandatory_split,5,6609.653,16.91453,fuel_1500,398.7,False,False,False,0,1
58,79,1,24,1,normal,1,2933.964,9.833463,fuel_3000,378.3,False,False,False,0,1
59,"117,118,119",3,"136,137,138",3,mandatory_split,3,8831.02556,23.24507,fuel_3000,209.1,False,False,False,0,1
60,"62,120,121,122",4,"139,140,141,142",4,mandatory_split,4,9906.6292,26.01759,"fuel_1500,fuel_3000",143.3,False,False,False,0,1
61,"63,101,102,103",4,"143,144,145,146",4,mandatory_split,4,6014.0655,18.804486,"fuel_1500,fuel_3000",288.8,False,False,False,0,1
62,"123,124,125",3,"147,148,149",3,mandatory_split,3,8804.294399999999,25.160673,fuel_3000,720.0,False,False,False,0,1
63,"126,127,128",3,"150,151,152",3,mandatory_split,3,8692.99,23.77785,fuel_3000,540.0,False,False,False,0,1
64,"129,130,131",3,"153,154,155",3,mandatory_split,3,8849.7672,21.49668,fuel_3000,369.6,False,False,False,0,1
65,"64,65,66,67,68",5,"156,157,158,159,160",5,mandatory_split,5,6552.5867,17.979093,fuel_1500,539.6,False,False,False,0,1
66,80,1,25,1,normal,1,2825.778817,8.6796,fuel_3000,120.1,False,False,False,0,1
67,81,1,26,1,normal,1,2885.641443,8.92494,fuel_3000,720.4,False,False,False,0,1
68,"69,70,71,132",4,"161,162,163,164",4,mandatory_split,4,7414.9874,17.4329,"fuel_1500,fuel_3000",707.2,False,False,False,0,1
69,82,1,27,1,normal,1,2288.8859,6.06402,fuel_3000,542.2,False,False,False,0,1
70,"87,133",2,"165,166",2,mandatory_split,2,5674.651,16.36573,fuel_3000,274.5,False,False,False,0,1
71,"12,13,92",3,"167,168,169",3,mandatory_split,3,3067.0688,10.0436,"ev_1250,fuel_3000",679.1,False,False,False,1,1
72,83,1,28,1,normal,1,2725.3232,7.50056,fuel_3000,675.1,False,False,False,0,1
73,"14,15,134",3,"170,171,172",3,mandatory_split,3,3003.175395,7.5462,"ev_1250,fuel_3000",376.9,False,False,False,1,1
74,"72,73,74",3,"173,174,175",3,mandatory_split,3,4418.048634,10.93872,fuel_1500,370.0,False,False,False,0,1
75,"2,85",2,"176,177",2,mandatory_split,2,3017.4406,7.857519999999999,"ev_1250,fuel_3000",455.2,False,False,False,1,1
76,84,1,29,1,normal,1,1256.3017,4.028617,fuel_3000,90.4,False,False,False,0,1
77,109,1,30,1,normal,1,1968.2668,5.09682,fuel_3000,695.2,False,False,False,0,1
78,94,1,31,1,normal,1,1882.391,4.7241,fuel_3000,714.0,False,False,False,0,1
79,86,1,32,1,normal,1,2315.13,7.36652,fuel_3000,158.5,False,False,False,0,1
80,30,1,33,1,normal,1,506.3405,1.90288,fuel_1500,608.7,False,False,False,0,1
81,31,1,34,1,normal,1,1343.6123,3.64803,fuel_1500,544.5,False,False,False,0,1
82,17,1,35,1,normal,1,1493.082,4.67276,ev_3000,315.7,False,False,False,1,0
83,85,1,36,1,normal,1,926.8409,2.79316,fuel_3000,348.8,False,False,False,0,1
84,97,1,37,1,normal,1,1605.2619,4.36803,fuel_3000,495.7,False,False,False,0,1
85,86,1,38,1,normal,1,593.8303,1.42095,fuel_3000,120.7,False,False,False,0,1
86,1,1,39,1,normal,1,532.895,2.84858,ev_1250,210.2,False,False,False,1,0
87,87,1,40,1,normal,1,180.291,0.46473,fuel_3000,198.6,False,False,False,0,1
88,121,1,41,1,normal,1,79.6007,0.53748,fuel_3000,183.7,False,False,False,0,1
89,53,1,42,1,normal,1,46.248,0.2733,fuel_1500,542.2,False,False,False,0,1
90,117,1,43,1,normal,1,100.6088,0.22653,fuel_3000,350.0,False,False,False,0,1
91,88,1,44,1,normal,1,70.435,0.39102,fuel_3000,540.2,False,False,False,0,1
92,89,1,45,1,normal,1,1524.5125,3.82045,fuel_3000,490.6,False,False,False,0,1
93,19,1,46,1,normal,1,97.6961,0.33417,ev_3000,354.6,False,False,False,1,0
94,90,1,47,1,normal,1,9.186,0.01795,fuel_3000,355.5,False,False,False,0,1
95,2,1,48,1,normal,1,109.35,0.29746,ev_1250,393.0,False,False,False,1,0
97,2,1,49,1,normal,1,17.48,0.04201,ev_1250,342.1,False,False,False,1,0
98,13,1,50,1,normal,1,25.5,0.0646,ev_1250,787.2,False,False,False,1,0
