unit_id,business_customer_id,service_node_id,baseline_customer_id,unit_type,visit_index,required_visit_count,weight_kg,volume_m3,tw_start_min,tw_start_hhmm,tw_end_min,tw_end_hhmm,eligible_vehicle_types,source_order_ids,in_green_zone,must_use_ev_under_policy,fuel_allowed_after_16,latest_event_id
31,78,78,78,normal,1,1,1882.391,4.7241,714,19:54,775,20:55,"fuel_3000,ev_3000","487,657,698,793,908,945,1022,1121,1188,1199,1484,1559,1646,1655,1704,1707,1865,2060,2139,2152",0,0,0,
32,79,79,79,normal,1,1,2315.13,7.36652,95,09:35,165,10:45,"fuel_3000,ev_3000","320,523,554,587,602,697,728,853,1000,1303,1329,1395,1396,1775,1790,1829,1858",0,0,0,
33,80,80,80,normal,1,1,506.3405,1.90288,581,17:41,634,18:34,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","513,694,751,835,839,1085,1353,1724,2100",0,0,0,
34,81,81,81,normal,1,1,1343.6123,3.64803,544,17:04,608,18:08,"fuel_3000,fuel_1500,ev_3000","434,590,607,653,933,1284,1449,1675,1735,1796,1884,2061",0,0,0,
35,82,82,82,normal,1,1,1493.082,4.67276,221,11:41,302,13:02,"fuel_3000,fuel_1500,ev_3000","457,540,911,1122,1248,1404,1425,1536,1607,1851,1867,1879,2019",0,0,0,
36,83,83,83,normal,1,1,926.8409,2.79316,348,13:48,403,14:43,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","305,437,476,547,805,934,1296,1591,1801,1874",0,0,0,
37,84,84,84,normal,1,1,1605.2619,4.36803,494,16:14,549,17:09,"fuel_3000,ev_3000","914,1129,1278,1459,1494,1834,1860,1921,1998,2110",0,0,0,
38,85,85,85,normal,1,1,593.8303,1.42095,111,09:51,182,11:02,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","629,757,897,917,1119,1258,2032",0,0,0,
39,86,86,86,normal,1,1,532.895,2.84858,126,10:06,215,11:35,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","360,361,409,1058,1225,1891,1912",0,0,0,
40,87,87,87,normal,1,1,180.291,0.46473,198,11:18,282,12:42,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","310,347,359,1447,1638,2003",0,0,0,
41,88,88,88,normal,1,1,79.6007,0.53748,124,10:04,199,11:19,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","642,1347,1733",0,0,0,
42,89,89,89,normal,1,1,46.248,0.2733,491,16:11,553,17:13,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250",469,0,0,0,
43,90,90,90,normal,1,1,100.6088,0.22653,350,13:50,429,15:09,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","752,833,1127,2047",0,0,0,
44,91,91,91,normal,1,1,70.435,0.39102,520,16:40,599,17:59,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","1218,1239,1377,2079",0,0,0,
45,92,92,92,normal,1,1,1524.5125,3.82045,407,14:47,487,16:07,"fuel_3000,ev_3000","387,504,1568,1828",0,0,0,
46,93,93,93,normal,1,1,97.6961,0.33417,292,12:52,374,14:14,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","539,1617",0,0,0,
47,94,94,94,normal,1,1,9.186,0.01795,283,12:43,357,13:57,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250",371,0,0,0,
48,95,95,95,normal,1,1,109.35,0.29746,385,14:25,454,15:34,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250",1999,0,0,0,
49,97,97,97,normal,1,1,17.48,0.04201,342,13:42,431,15:11,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250",651,0,0,0,
50,98,98,98,normal,1,1,25.5,0.0646,678,19:18,761,20:41,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250",958,0,0,0,
51,6,6,6,mandatory_split,1,3,1217.0841,3.29954,226,11:46,299,12:59,"ev_3000,ev_1250","7,13,19,24,25,32,35,38,40,51,110,119,149,156,176,204,206,217,224,259,290",1,1,0,
52,6,6,6,mandatory_split,2,3,2009.0,4.46449,226,11:46,299,12:59,ev_3000,104,1,1,0,
53,6,6,6,mandatory_split,3,3,1247.5591,4.21917,226,11:46,299,12:59,"ev_3000,ev_1250","15,60,118,127,286,295",1,1,0,
54,7,7,7,mandatory_split,1,5,2471.1996,5.93351,281,12:41,368,14:08,ev_3000,"23,47,55,68,79,102,123,132,142,146,172,203,208,214,228,235,240,262,266,287",1,1,0,
55,7,7,7,mandatory_split,2,5,1248.7126,3.10073,281,12:41,368,14:08,"ev_3000,ev_1250","34,37,65,66,76,139,257",1,1,0,
56,7,7,7,mandatory_split,3,5,1248.8567,3.388267,281,12:41,368,14:08,"ev_3000,ev_1250","20,75,87,158,196,215,280,296,299",1,1,0,
57,7,7,7,mandatory_split,4,5,1246.7515,2.85451,281,12:41,368,14:08,"ev_3000,ev_1250","107,150,236",1,1,0,
58,7,7,7,mandatory_split,5,5,1247.7124,3.20012,281,12:41,368,14:08,"ev_3000,ev_1250","30,44,91,113,133,263,283",1,1,0,
59,8,8,8,mandatory_split,1,4,2996.45562,11.88564,169,10:49,227,11:47,ev_3000,"74,141,199",1,1,0,
60,8,8,8,mandatory_split,2,4,2818.644803,8.35412,169,10:49,227,11:47,ev_3000,"5,6,12,21,22,26,31,39,42,50,67,73,78,80,82,85,90,93,94,97,98,106,109,117,121,130,134,135,143,147,164,169,171,173,178,182,185,193,197,198,202,225,226,233,241,242,247,249,250,255,261,268,272,291",1,1,0,
61,8,8,8,mandatory_split,3,4,2996.1652,7.59747,169,10:49,227,11:47,ev_3000,"160,167,252",1,1,0,
62,8,8,8,mandatory_split,4,4,2996.5046,8.18979,169,10:49,227,11:47,ev_3000,"27,48,53,56,138,140,174,175,275",1,1,0,
63,10,10,10,mandatory_split,1,3,906.8064,4.26313,700,19:40,749,20:29,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","3,8,10,41,62,69,77,83,95,108,111,114,120,122,124,125,137,151,168,170,205,207,213,220,227,230,232,239,251,285",1,0,1,
64,10,10,10,mandatory_split,2,3,1246.3786,5.46714,700,19:40,749,20:29,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","4,14,16,57,179,191,269",1,0,1,
65,10,10,10,mandatory_split,3,3,1606.8,4.82722,700,19:40,749,20:29,"fuel_3000,ev_3000",58,1,0,1,
66,27,27,27,mandatory_split,1,2,1798.9699,4.32991,591,17:51,667,19:07,"fuel_3000,ev_3000",1206,0,0,0,
67,27,27,27,mandatory_split,2,2,1434.6342,3.3098,591,17:51,667,19:07,"fuel_3000,fuel_1500,ev_3000","400,468,902,1043,1078,1158,1190,1809",0,0,0,
68,28,28,28,mandatory_split,1,3,1356.8821,3.10427,687,19:27,755,20:35,"fuel_3000,fuel_1500,ev_3000",773,0,0,0,
69,28,28,28,mandatory_split,2,3,654.0499,1.69407,687,19:27,755,20:35,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","558,1946",0,0,0,
70,28,28,28,mandatory_split,3,3,1246.3795,3.16196,687,19:27,755,20:35,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","901,1177,1355,2012",0,0,0,
71,31,31,31,mandatory_split,1,3,784.5707,1.64776,529,16:49,586,17:46,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","516,578,783,1185,1415,1688,1832",0,0,0,
72,31,31,31,mandatory_split,2,3,2993.52505,6.898755,529,16:49,586,17:46,"fuel_3000,ev_3000",1686,0,0,0,
73,31,31,31,mandatory_split,3,3,2993.52505,6.898755,529,16:49,586,17:46,"fuel_3000,ev_3000",1686,0,0,0,
74,36,36,36,mandatory_split,1,2,2011.9702,6.13895,436,15:16,501,16:21,"fuel_3000,ev_3000",484,0,0,0,
75,36,36,36,mandatory_split,2,2,1297.2845,4.16881,436,15:16,501,16:21,"fuel_3000,fuel_1500,ev_3000","497,562,586,818,874,989,1026,1138,1279,1289,1411,1552,1705,1869,2034,2162",0,0,0,
76,39,39,39,mandatory_split,1,3,1245.3641,2.86177,368,14:08,420,15:00,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","354,1632,2132",0,0,0,
77,39,39,39,mandatory_split,2,3,1301.3552,2.94734,368,14:08,420,15:00,"fuel_3000,fuel_1500,ev_3000",2054,0,0,0,
78,39,39,39,mandatory_split,3,3,1478.1723,4.19806,368,14:08,420,15:00,"fuel_3000,fuel_1500,ev_3000","308,342,837,1050,1192,1283,1488,1501,1557,1636,1703,1718,2009,2016",0,0,0,
79,42,42,42,mandatory_split,1,4,2312.031,5.4625,134,10:14,201,11:21,"fuel_3000,ev_3000","337,1583",0,0,0,
80,42,42,42,mandatory_split,2,4,1243.2998,2.40594,134,10:14,201,11:21,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","746,1711",0,0,0,
81,42,42,42,mandatory_split,3,4,1314.856,3.252882,134,10:14,201,11:21,"fuel_3000,fuel_1500,ev_3000","312,380,399,742,1045,1539,1841,2070,2078,2084",0,0,0,
82,42,42,42,mandatory_split,4,4,1499.138559,4.21351,134,10:14,201,11:21,"fuel_3000,fuel_1500,ev_3000","351,477,804,883,1020,1304,1667,1690,1814,1971,1988",0,0,0,
83,43,43,43,mandatory_split,1,4,1247.5221,2.62516,533,16:53,617,18:17,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","882,1452,1750,2124",0,0,0,
84,43,43,43,mandatory_split,2,4,1301.829,5.07067,533,16:53,617,18:17,"fuel_3000,fuel_1500,ev_3000","321,366,386,416,510,535,536,545,553,628,654,768,781,786,794,800,924,969,974,1033,1256,1356,1458,1493,1516,1551,1602,1618,1628,1938,2095,2114,2155",0,0,0,
85,43,43,43,mandatory_split,3,4,1248.0797,3.09064,533,16:53,617,18:17,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","1267,1783,1993",0,0,0,
86,43,43,43,mandatory_split,4,4,1264.1499,2.83041,533,16:53,617,18:17,"fuel_3000,fuel_1500,ev_3000",1786,0,0,0,
87,44,44,44,mandatory_split,1,4,807.4513,2.69244,541,17:01,629,18:29,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","303,311,690,743,795,799,822,831,929,999,1117,1183,1191,1201,1294,1385,1434,1437,1479,2064",0,0,0,
88,44,44,44,mandatory_split,2,4,1248.3566,2.90366,541,17:01,629,18:29,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","779,919,1359,1513,1782",0,0,0,
89,44,44,44,mandatory_split,3,4,1248.284,2.84909,541,17:01,629,18:29,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","383,942",0,0,0,
90,44,44,44,mandatory_split,4,4,1248.217,3.17884,541,17:01,629,18:29,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","327,674,1144",0,0,0,
91,45,45,45,mandatory_split,1,4,1499.618,4.08271,457,15:37,516,16:36,"fuel_3000,fuel_1500,ev_3000","318,447,467,485,867,1072,1074,1481,1543,1726,1888,1933,2010",0,0,0,
92,45,45,45,mandatory_split,2,4,1498.5366,3.79258,457,15:37,516,16:36,"fuel_3000,fuel_1500,ev_3000","921,931,1032,1197,1298,1461,1467,1495,2044,2098,2112,2160",0,0,0,
93,45,45,45,mandatory_split,3,4,1306.6394,2.88896,457,15:37,516,16:36,"fuel_3000,fuel_1500,ev_3000","474,856,1046,1106,1172,1374,1515,1863,1895,1928,1968",0,0,0,
94,45,45,45,mandatory_split,4,4,1495.1316,7.64912,457,15:37,516,16:36,"fuel_3000,fuel_1500,ev_3000","343,521,603,886,1210,1316,1444",0,0,0,
95,46,46,46,mandatory_split,1,3,1243.5699,4.47477,192,11:12,251,12:11,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","336,635,695,817,1021,1157,1227,1277,1504,1549,2022,2077,2151",0,0,0,
96,46,46,46,mandatory_split,2,3,380.988,1.20598,192,11:12,251,12:11,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","355,402,658,770,850,1130,1147,1186,1305,1331,1545,1578,1585,1983,2000,2076,2113,2119,2168",0,0,0,
97,46,46,46,mandatory_split,3,3,1695.2818,5.20587,192,11:12,251,12:11,"fuel_3000,ev_3000",1027,0,0,0,
98,48,48,48,mandatory_split,1,3,2997.2973,7.936744,486,16:06,568,17:28,"fuel_3000,ev_3000","357,498,533,710,1390",0,0,0,
99,48,48,48,mandatory_split,2,3,2999.9331,7.23759,486,16:06,568,17:28,"fuel_3000,ev_3000","1124,1482,1506,1920,2103",0,0,0,
100,48,48,48,mandatory_split,3,3,2601.4972,6.77283,486,16:06,568,17:28,"fuel_3000,ev_3000","315,325,431,470,471,509,600,623,645,689,761,766,898,956,963,998,1107,1142,1153,1215,1250,1291,1423,1554,1566,1621,1684,1712,1749,1761,1764,2109",0,0,0,
101,49,49,49,mandatory_split,1,3,1499.6967,4.33161,306,13:06,362,14:02,"fuel_3000,fuel_1500,ev_3000","375,392,576,579,895,1062,1216,1339,1343,1526,1579,1619,1902",0,0,0,
102,49,49,49,mandatory_split,2,3,1497.0659,5.30088,306,13:06,362,14:02,"fuel_3000,fuel_1500,ev_3000","552,585,606,785,828,866,941,1169,1196,1351,1446,1460,1822,2039,2106,2146",0,0,0,
103,49,49,49,mandatory_split,3,3,1490.0734,3.90646,306,13:06,362,14:02,"fuel_3000,fuel_1500,ev_3000","415,448,454,609,648,954,1037,1272,1558,1597,1631,1727,1777,1802,1864,1960,2147",0,0,0,
104,50,50,50,mandatory_split,1,3,2999.105,6.87562,729,20:09,778,20:58,"fuel_3000,ev_3000","838,955,1372,1693,1731",0,0,0,
105,50,50,50,mandatory_split,2,3,1954.0194,4.660751,729,20:09,778,20:58,"fuel_3000,ev_3000","345,604,665,711,712,733,758,947,965,1149,1300,1322,1511,1588,1594,1612,1639,1893,1899,2052,2081,2142",0,0,0,
106,50,50,50,mandatory_split,3,3,2999.1857,10.03701,729,20:09,778,20:58,"fuel_3000,ev_3000","374,394,401,480,676,684,716,759,787,892,1137,1163,1240,1266,1290,1806,1837,1877,1896,1911,1974,1981,2035,2038,2092,2096,2122,2144",0,0,0,
107,51,51,51,mandatory_split,1,3,1249.2591,2.63726,573,17:33,639,18:39,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","446,450,840,1245,2029",0,0,0,
108,51,51,51,mandatory_split,2,3,1006.351212,3.24977,573,17:33,639,18:39,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","304,559,605,612,652,667,681,704,717,727,730,747,796,936,961,972,1006,1217,1237,1306,1323,1369,1389,1416,1419,1420,1438,1521,1541,1556,1691,1714,1728,1812,1875,1887,1918,1932,1976,2001,2116,2166",0,0,0,
109,51,51,51,mandatory_split,3,3,1246.334755,3.87228,573,17:33,639,18:39,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","419,524,1407,1546,1569,1815,1856",0,0,0,
110,52,52,52,mandatory_split,1,5,1247.9146,2.84981,425,15:05,512,16:32,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","426,671,982",0,0,0,
111,52,52,52,mandatory_split,2,5,1445.077986,3.62689,425,15:05,512,16:32,"fuel_3000,fuel_1500,ev_3000","350,459,565,619,621,627,662,700,762,1126,1252,1571,1610,1650,1722,1740,1748,1788,2021,2031,2154",0,0,0,
112,52,52,52,mandatory_split,3,5,1499.7824,5.197427,425,15:05,512,16:32,"fuel_3000,fuel_1500,ev_3000","331,340,428,494,588,626,709,735,909,928,938,970,1001,1024,1079,1221,1222,1262,1445,1677,1723,1776,1808,1844,1900,1996,2125,2131",0,0,0,
113,52,52,52,mandatory_split,4,5,1285.5998,2.69392,425,15:05,512,16:32,"fuel_3000,fuel_1500,ev_3000",1957,0,0,0,
114,52,52,52,mandatory_split,5,5,1255.4001,2.79047,425,15:05,512,16:32,"fuel_3000,fuel_1500,ev_3000",451,0,0,0,
115,53,53,53,mandatory_split,1,3,2991.351,7.35356,599,17:59,652,18:52,"fuel_3000,ev_3000","595,713,842,951,1451,1643,1892,2134",0,0,0,
116,53,53,53,mandatory_split,2,3,2474.0293,7.8809,599,17:59,652,18:52,"fuel_3000,ev_3000","378,389,403,420,463,538,664,677,724,726,937,988,1051,1059,1075,1084,1091,1112,1116,1123,1152,1166,1170,1200,1280,1295,1299,1456,1489,1505,1601,1627,1641,1702,1766,1787,1791,1799,1854,1861,1905,2128,2153",0,0,0,
117,53,53,53,mandatory_split,3,3,1498.4656,3.52428,599,17:59,652,18:52,"fuel_3000,fuel_1500,ev_3000","571,1115,1213,1321",0,0,0,
118,54,54,54,mandatory_split,1,5,1497.509,3.97463,560,17:20,568,17:28,"fuel_3000,fuel_1500,ev_3000","319,414,887,1224,1503,1666,2011,2167",0,0,0,E3
119,54,54,54,mandatory_split,2,5,1441.055393,3.17285,560,17:20,568,17:28,"fuel_3000,fuel_1500,ev_3000","486,625,731,748,846,863,1160,1176,1391,1405,1413,1426,1474,1477,1770,1816,1835,1942,2169",0,0,0,E3
120,54,54,54,mandatory_split,3,5,1499.6911,3.37674,560,17:20,568,17:28,"fuel_3000,fuel_1500,ev_3000","390,692,824,927,1052,1154,1175,1561,1668,1830,1882,2150",0,0,0,E3
121,54,54,54,mandatory_split,4,5,1494.4491,5.78807,560,17:20,568,17:28,"fuel_3000,fuel_1500,ev_3000","462,976,1442,1499,1598,1699,1743,1759,1862,1885",0,0,0,E3
122,54,54,54,mandatory_split,5,5,1499.42,3.36063,560,17:20,568,17:28,"fuel_3000,fuel_1500,ev_3000","379,845,1430,1577,1642,2004",0,0,0,E3
123,55,55,55,mandatory_split,1,5,2999.056,8.033215,595,17:55,672,19:12,"fuel_3000,ev_3000","876,1101,1168,1287,1595",0,0,0,
124,55,55,55,mandatory_split,2,5,1498.5906,3.26315,595,17:55,672,19:12,"fuel_3000,fuel_1500,ev_3000","661,865,1831",0,0,0,
125,55,55,55,mandatory_split,3,5,2999.93,6.45886,595,17:55,672,19:12,"fuel_3000,ev_3000","860,912,978,1269,2045,2136",0,0,0,
126,55,55,55,mandatory_split,4,5,2998.1298,9.638025,595,17:55,672,19:12,"fuel_3000,ev_3000","328,413,455,483,489,511,532,581,624,707,790,791,869,1156,1182,1287,1342,1587,1608,1615,1720,1789,1795,1807,1987,2089",0,0,0,
127,55,55,55,mandatory_split,5,5,1701.9409,4.597829,595,17:55,672,19:12,"fuel_3000,ev_3000","433,444,556,563,594,718,816,820,847,935,964,1044,1134,1207,1360,1671,1706,1847,1870,1945,2002,2123",0,0,0,
128,56,56,56,mandatory_split,1,3,2997.554,6.73779,350,13:50,429,15:09,"fuel_3000,ev_3000","772,792,1179,1575,1956,2085",0,0,0,
129,56,56,56,mandatory_split,2,3,1497.1642,3.16719,350,13:50,429,15:09,"fuel_3000,fuel_1500,ev_3000","641,1530,1959",0,0,0,
130,56,56,56,mandatory_split,3,3,2570.4427,7.82444,350,13:50,429,15:09,"fuel_3000,ev_3000","404,461,526,583,598,643,666,701,740,767,806,809,1019,1035,1049,1055,1097,1098,1100,1146,1167,1205,1211,1263,1324,1432,1485,1486,1527,1565,1606,1692,1700,1853,1883,1906,1953,1990,1994,2041,2071",0,0,0,
131,57,57,57,mandatory_split,1,5,1249.5072,3.40253,398,14:38,479,15:59,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","1073,1310,1312,1840,2049",0,0,0,
132,57,57,57,mandatory_split,2,5,1402.9315,4.10264,398,14:38,479,15:59,"fuel_3000,fuel_1500,ev_3000","313,369,527,551,675,721,959,1141,1236,1246,1417,1582,1674,1747,1767,1922,2008,2030",0,0,0,
133,57,57,57,mandatory_split,3,5,1249.116,3.04475,398,14:38,479,15:59,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","479,512,813,948",0,0,0,
134,57,57,57,mandatory_split,4,5,1247.5381,3.31334,398,14:38,479,15:59,"fuel_3000,fuel_1500,fuel_1250,ev_3000,ev_1250","456,543,550,688,776,811,864,878,913,940,962,1095,1178,1491,1659,1680,1741,1772,1967,2020,2161",0,0,0,
135,57,57,57,mandatory_split,5,5,1460.5602,3.05127,398,14:38,479,15:59,"fuel_3000,fuel_1500,ev_3000",1471,0,0,0,
136,59,59,59,mandatory_split,1,3,2840.12926,7.28808,195,11:15,279,12:39,"fuel_3000,ev_3000","364,365,384,396,520,542,596,601,622,630,637,696,720,797,885,889,920,971,1038,1090,1118,1151,1161,1335,1376,1418,1475,1500,1510,1533,1540,1590,1593,1604,1613,1624,1670,1821,1886,1907,1909,1936,2051,2056,2101,2130",0,0,0,
137,59,59,59,mandatory_split,2,3,2999.335,8.98248,195,11:15,279,12:39,"fuel_3000,ev_3000","362,777,894,910,1017,1069,1872,1954,2107",0,0,0,
