route_id,vehicle_type,vehicle_instance,stop_index,unit_id,orig_cust_id,unit_type,visit_index,required_visit_count,source_order_ids,arrival_min,arrival_hhmm,service_start_min,service_start_hhmm,service_end_min,service_end_hhmm,waiting_min,late_min,delivered_weight_kg,delivered_volume_m3,remaining_weight_after_stop_kg,remaining_volume_after_stop_m3,tw_start_min,tw_start_hhmm,tw_end_min,tw_end_hhmm,after_hours_service_flag,late_positive_flag
9,ev_1250,9,1,107,52,mandatory_split,1,5,"426,671,982",512.0,16:32,512.0,16:32,532.0,16:52,0.0,0.0,1247.9146,2.84981,0.0,0.0,425,15:05,512,16:32,0,0
10,ev_1250,10,1,141,61,mandatory_split,2,4,"464,472,656,702,778,1087,1103,1132,1136,1379,1825,1903,1934,2015,2059",259.5,12:20,259.5,12:20,279.5,12:40,0.0,0.0,1249.7546,3.981786,0.0,0.0,257,12:17,343,13:43,0,0
11,ev_1250,11,1,154,65,mandatory_split,2,5,"349,979,1013,2088",486.9,16:07,486.9,16:07,506.9,16:27,0.0,0.0,1249.7897,2.12534,0.0,0.0,477,15:57,563,17:23,0,0
12,ev_1250,12,1,164,71,mandatory_split,1,3,"1018,1071,1285,1332,1431,1855,1939,2014",764.8,20:45,764.8,20:45,784.8,21:05,0.0,0.0,1247.3338,4.84749,0.0,0.0,679,19:19,765,20:45,0,0
13,ev_1250,13,1,165,71,mandatory_split,2,3,"309,406,573,599,616,673,1113,1257,1457,1563,1975,1979",678.8,19:19,679.0,19:19,699.0,19:39,0.2,0.0,449.235,1.61952,766.4727,2.45102,679,19:19,765,20:45,0,0
13,ev_1250,13,2,9,19,normal,1,1,1701,725.5,20:05,725.5,20:05,745.5,20:25,0.0,0.0,9.3722,0.07403,757.1005,2.37699,675,19:15,748,20:28,0,0
13,ev_1250,13,3,50,98,normal,1,1,958,782.4,21:02,782.4,21:02,802.4,21:22,0.0,21.4,25.5,0.0646,731.6005,2.31239,678,19:18,761,20:41,1,1
13,ev_1250,13,4,3,5,normal,1,1,"9,29,43,46,52,81,88,89,96,103,112,126,128,152,157,166,177,238,254,267,279,292,293",840.2,22:00,840.2,22:00,860.2,22:20,0.0,94.2,731.6005,2.31239,0.0,0.0,688,19:28,746,20:26,1,1
14,ev_1250,14,1,168,73,mandatory_split,2,3,"388,423,519,823,1567,1843",376.7,14:17,376.7,14:17,396.7,14:37,0.0,0.0,1248.095,2.62153,0.0,0.0,322,13:22,377,14:17,0,0
15,ev_1250,15,1,169,73,mandatory_split,3,3,"307,525,1600",376.7,14:17,376.7,14:17,396.7,14:37,0.0,0.0,1247.8439,3.18236,0.0,0.0,322,13:22,377,14:17,0,0
16,ev_3000,1,1,13,29,normal,1,1,"334,1011,1139",578.1,17:38,578.1,17:38,598.1,17:58,0.0,0.0,873.945,2.04764,1798.9699,4.32991,578,17:38,663,19:03,0,0
16,ev_3000,1,2,64,27,mandatory_split,1,2,1206,718.5,19:58,718.5,19:58,738.5,20:18,0.0,51.5,1798.9699,4.32991,0.0,0.0,591,17:51,667,19:07,0,1
17,ev_3000,2,1,18,35,normal,1,1,"397,449,475,771,857,946,1195,1242,1264,1333,1633,1661,1687,1785",171.9,10:52,171.9,10:52,191.9,11:12,0.0,0.0,1692.5786,3.88436,1243.5699,4.47477,89,09:29,172,10:52,0,0
17,ev_3000,2,2,92,46,mandatory_split,1,3,"336,635,695,817,1021,1157,1227,1277,1504,1549,2022,2077,2151",204.2,11:24,204.2,11:24,224.2,11:44,0.0,0.0,1243.5699,4.47477,0.0,0.0,192,11:12,251,12:11,0,0
18,ev_3000,3,1,37,84,normal,1,1,"914,1129,1278,1459,1494,1834,1860,1921,1998,2110",545.8,17:06,545.8,17:06,565.8,17:26,0.0,0.0,1605.2619,4.36803,1370.5,3.57659,494,16:14,549,17:09,0,0
18,ev_3000,3,2,166,71,mandatory_split,3,3,825,631.1,18:31,679.0,19:19,699.0,19:39,47.9,0.0,1370.5,3.57659,0.0,0.0,679,19:19,765,20:45,0,0
19,ev_3000,4,1,38,85,normal,1,1,"629,757,897,917,1119,1258,2032",141.9,10:22,141.9,10:22,161.9,10:42,0.0,0.0,593.8303,1.42095,2312.031,5.4625,111,09:51,182,11:02,0,0
19,ev_3000,4,2,77,42,mandatory_split,1,4,"337,1583",200.0,11:20,200.0,11:20,220.0,11:40,0.0,0.0,2312.031,5.4625,0.0,0.0,134,10:14,201,11:21,0,0
20,ev_3000,5,1,40,87,normal,1,1,"310,347,359,1447,1638,2003",198.1,11:18,198.1,11:18,218.1,11:38,0.0,0.0,180.291,0.46473,2693.9674,8.73545,198,11:18,282,12:42,0,0
20,ev_3000,5,2,162,70,mandatory_split,1,2,"329,332,333,425,432,465,478,517,669,678,682,753,950,981,986,996,1083,1102,1203,1220,1302,1328,1370,1410,1435,1508,1520,1673,1695,1698,1756,1817,1901,1910,1925,1952",292.4,12:52,292.4,12:52,312.4,13:12,0.0,17.4,2693.9674,8.73545,0.0,0.0,216,11:36,275,12:35,0,1
21,ev_3000,6,1,65,27,mandatory_split,2,2,"400,468,902,1043,1078,1158,1190,1809",593.5,17:53,593.5,17:53,613.5,18:13,0.0,0.0,1434.6342,3.3098,1499.6911,3.37674,591,17:51,667,19:07,0,0
21,ev_3000,6,2,117,54,mandatory_split,3,5,"390,692,824,927,1052,1154,1175,1561,1668,1830,1882,2150",641.2,18:41,641.2,18:41,661.2,19:01,0.0,0.0,1499.6911,3.37674,0.0,0.0,560,17:20,644,18:44,0,0
22,ev_3000,7,1,75,39,mandatory_split,2,3,2054,419.8,15:00,419.8,15:00,439.8,15:20,0.0,0.0,1301.3552,2.94734,1499.42,3.36063,368,14:08,420,15:00,0,0
22,ev_3000,7,2,119,54,mandatory_split,5,5,"379,845,1430,1577,1642,2004",452.3,15:32,560.0,17:20,580.0,17:40,107.7,0.0,1499.42,3.36063,0.0,0.0,560,17:20,644,18:44,0,0
23,ev_3000,8,1,76,39,mandatory_split,3,3,"308,342,837,1050,1192,1283,1488,1501,1557,1636,1703,1718,2009,2016",419.8,15:00,419.8,15:00,439.8,15:20,0.0,0.0,1478.1723,4.19806,1497.509,3.97463,368,14:08,420,15:00,0,0
23,ev_3000,8,2,115,54,mandatory_split,1,5,"319,414,887,1224,1503,1666,2011,2167",452.3,15:32,560.0,17:20,580.0,17:40,107.7,0.0,1497.509,3.97463,0.0,0.0,560,17:20,644,18:44,0,0
24,ev_3000,9,1,110,52,mandatory_split,4,5,1957,512.0,16:32,512.0,16:32,532.0,16:52,0.0,0.0,1285.5998,2.69392,1494.4491,5.78807,425,15:05,512,16:32,0,0
24,ev_3000,9,2,118,54,mandatory_split,4,5,"462,976,1442,1499,1598,1699,1743,1759,1862,1885",613.5,18:13,613.5,18:13,633.5,18:33,0.0,0.0,1494.4491,5.78807,0.0,0.0,560,17:20,644,18:44,0,0
25,ev_3000,10,1,163,70,mandatory_split,2,2,"424,502,943,1465,1468,1570",221.2,11:41,221.2,11:41,241.2,12:01,0.0,0.0,2980.6836,7.63028,0.0,0.0,216,11:36,275,12:35,0,0
26,fuel_1500,1,1,2,4,normal,1,1,"11,17,61,70,136,148,187,216,221,243,271,282",756.8,20:37,756.8,20:37,776.8,20:57,0.0,0.0,1443.5621,3.490997,0.0,0.0,689,19:29,757,20:37,0,0
27,fuel_1500,2,1,5,11,normal,1,1,"18,49,63,84,144,145,153,188,209,210,218,222,234,244,245,246,256,258,273,298",211.5,11:32,211.5,11:32,231.5,11:52,0.0,0.0,1325.5301,4.36316,0.0,0.0,209,11:29,290,12:50,0,0
28,fuel_1500,3,1,10,24,normal,1,1,"385,617,1384,1509,2024",539.6,17:00,539.6,17:00,559.6,17:20,0.0,0.0,1262.1673,2.95599,0.0,0.0,531,16:51,616,18:16,0,0
29,fuel_1500,4,1,12,26,normal,1,1,"452,1453,1454",540.2,17:00,540.2,17:00,560.2,17:20,0.0,0.0,45.8132,0.1362,1441.055393,3.17285,470,15:50,552,17:12,0,0
29,fuel_1500,4,2,116,54,mandatory_split,2,5,"486,625,731,748,846,863,1160,1176,1391,1405,1413,1426,1474,1477,1770,1816,1835,1942,2169",591.2,17:51,591.2,17:51,611.2,18:11,0.0,0.0,1441.055393,3.17285,0.0,0.0,560,17:20,644,18:44,0,0
30,fuel_1500,5,1,20,38,normal,1,1,"398,427,506,530,925,949,1039,1143,1204,1232,1268,1293,1387,1497,1653,1697,1797,1876,1894,1962,2082",210.3,11:30,210.3,11:30,230.3,11:50,0.0,0.0,1261.7326,4.06727,0.0,0.0,148,10:28,214,11:34,0,0
31,fuel_1500,6,1,29,76,normal,1,1,"302,655,668,737,739,834,1012,1065,1105,1212,1228,1270,1393,1498,1564,1889,2148",97.1,09:37,97.1,09:37,117.1,09:57,0.0,0.0,1256.3017,4.028617,0.0,0.0,69,09:09,145,10:25,0,0
32,fuel_1500,7,1,34,81,normal,1,1,"434,590,607,653,933,1284,1449,1675,1735,1796,1884,2061",545.4,17:05,545.4,17:05,565.4,17:25,0.0,0.0,1343.6123,3.64803,0.0,0.0,544,17:04,608,18:08,0,0
33,fuel_1500,8,1,35,82,normal,1,1,"457,540,911,1122,1248,1404,1425,1536,1607,1851,1867,1879,2019",223.6,11:44,223.6,11:44,243.6,12:04,0.0,0.0,1493.082,4.67276,0.0,0.0,221,11:41,302,13:02,0,0
34,fuel_1500,9,1,36,83,normal,1,1,"305,437,476,547,805,934,1296,1591,1801,1874",348.9,13:49,348.9,13:49,368.9,14:09,0.0,0.0,926.8409,2.79316,0.0,0.0,348,13:48,403,14:43,0,0
35,fuel_1500,10,1,41,88,normal,1,1,"642,1347,1733",123.1,10:03,124.0,10:04,144.0,10:24,0.9,0.0,79.6007,0.53748,1314.856,3.252882,124,10:04,199,11:19,0,0
35,fuel_1500,10,2,79,42,mandatory_split,3,4,"312,380,399,742,1045,1539,1841,2070,2078,2084",241.0,12:01,241.0,12:01,261.0,12:21,0.0,40.0,1314.856,3.252882,0.0,0.0,134,10:14,201,11:21,0,1
36,fuel_1500,11,1,51,6,mandatory_split,1,2,"7,15,25,51,60,110,118,127,176,286,290,295",226.7,11:47,226.7,11:47,246.7,12:07,0.0,0.0,1499.0391,5.17355,0.0,0.0,226,11:46,299,12:59,0,0
37,fuel_1500,12,1,53,7,mandatory_split,1,4,"34,65,66,76,139,196",361.4,14:01,361.4,14:01,381.4,14:21,0.0,0.0,1499.2446,3.51113,0.0,0.0,281,12:41,368,14:08,0,0
38,fuel_1500,13,1,54,7,mandatory_split,2,4,"44,87,133,150,158,257,280",361.4,14:01,361.4,14:01,381.4,14:21,0.0,0.0,1499.8194,4.16778,0.0,0.0,281,12:41,368,14:08,0,0
39,fuel_1500,14,1,56,7,mandatory_split,4,4,"20,75,79,236",361.4,14:01,361.4,14:01,381.4,14:21,0.0,0.0,1499.795,3.431727,0.0,0.0,281,12:41,368,14:08,0,0
40,fuel_1500,15,1,81,43,mandatory_split,1,4,"882,1452,1750,2124",541.7,17:02,541.7,17:02,561.7,17:22,0.0,0.0,1247.5221,2.62516,0.0,0.0,533,16:53,617,18:17,0,0
41,fuel_1500,16,1,82,43,mandatory_split,2,4,"321,366,386,416,510,535,536,545,553,628,654,768,781,786,794,800,924,969,974,1033,1256,1356,1458,1493,1516,1551,1602,1618,1628,1938,2095,2114,2155",541.7,17:02,541.7,17:02,561.7,17:22,0.0,0.0,1301.829,5.07067,0.0,0.0,533,16:53,617,18:17,0,0
42,fuel_1500,17,1,83,43,mandatory_split,3,4,"1267,1783,1993",541.7,17:02,541.7,17:02,561.7,17:22,0.0,0.0,1248.0797,3.09064,0.0,0.0,533,16:53,617,18:17,0,0
43,fuel_1500,18,1,84,43,mandatory_split,4,4,1786,541.7,17:02,541.7,17:02,561.7,17:22,0.0,0.0,1264.1499,2.83041,0.0,0.0,533,16:53,617,18:17,0,0
44,fuel_1500,19,1,85,44,mandatory_split,1,4,"303,311,690,743,795,799,822,831,929,999,1117,1183,1191,1201,1294,1385,1434,1437,1479,2064",628.3,18:28,628.3,18:28,648.3,18:48,0.0,0.0,807.4513,2.69244,654.0499,1.69407,541,17:01,629,18:29,0,0
44,fuel_1500,19,2,67,28,mandatory_split,2,3,"558,1946",661.8,19:02,687.0,19:27,707.0,19:47,25.2,0.0,654.0499,1.69407,0.0,0.0,687,19:27,755,20:35,0,0
45,fuel_1500,20,1,89,45,mandatory_split,1,3,"467,931,1072,1374,1895",457.1,15:37,457.1,15:37,477.1,15:57,0.0,0.0,1498.4436,3.37433,0.0,0.0,457,15:37,516,16:36,0,0
46,fuel_1500,21,1,91,45,mandatory_split,3,3,"1495,1515,1863,1888",457.1,15:37,457.1,15:37,477.1,15:57,0.0,0.0,1499.8758,3.59683,0.0,0.0,457,15:37,516,16:36,0,0
47,fuel_1500,22,1,98,49,mandatory_split,1,3,"375,392,576,579,895,1062,1216,1339,1343,1526,1579,1619,1902",316.5,13:16,316.5,13:16,336.5,13:36,0.0,0.0,1499.6967,4.33161,0.0,0.0,306,13:06,362,14:02,0,0
48,fuel_1500,23,1,99,49,mandatory_split,2,3,"552,585,606,785,828,866,941,1169,1196,1351,1446,1460,1822,2039,2106,2146",316.5,13:16,316.5,13:16,336.5,13:36,0.0,0.0,1497.0659,5.30088,0.0,0.0,306,13:06,362,14:02,0,0
49,fuel_1500,24,1,100,49,mandatory_split,3,3,"415,448,454,609,648,954,1037,1272,1558,1597,1631,1727,1777,1802,1864,1960,2147",316.5,13:16,316.5,13:16,336.5,13:36,0.0,0.0,1490.0734,3.90646,0.0,0.0,306,13:06,362,14:02,0,0
50,fuel_1500,25,1,104,51,mandatory_split,1,3,"446,450,840,1245,2029",574.1,17:34,574.1,17:34,594.1,17:54,0.0,0.0,1249.2591,2.63726,0.0,0.0,573,17:33,639,18:39,0,0
51,fuel_1500,26,1,105,51,mandatory_split,2,3,"304,559,605,612,652,667,681,704,717,727,730,747,796,936,961,972,1006,1217,1237,1306,1323,1369,1389,1416,1419,1420,1438,1521,1541,1556,1691,1714,1728,1812,1875,1887,1918,1932,1976,2001,2116,2166",574.1,17:34,574.1,17:34,594.1,17:54,0.0,0.0,1006.351212,3.24977,0.0,0.0,573,17:33,639,18:39,0,0
52,fuel_1500,27,1,106,51,mandatory_split,3,3,"419,524,1407,1546,1569,1815,1856",574.1,17:34,574.1,17:34,594.1,17:54,0.0,0.0,1246.334755,3.87228,0.0,0.0,573,17:33,639,18:39,0,0
53,fuel_1500,28,1,108,52,mandatory_split,2,5,"350,459,565,619,621,627,662,700,762,1126,1252,1571,1610,1650,1722,1740,1748,1788,2021,2031,2154",483.8,16:04,483.8,16:04,503.8,16:24,0.0,0.0,1445.077986,3.62689,46.248,0.2733,425,15:05,512,16:32,0,0
53,fuel_1500,28,2,42,89,normal,1,1,469,541.7,17:02,541.7,17:02,561.7,17:22,0.0,0.0,46.248,0.2733,0.0,0.0,491,16:11,553,17:13,0,0
54,fuel_1500,29,1,114,53,mandatory_split,3,3,"571,1115,1213,1321",650.4,18:50,650.4,18:50,670.4,19:10,0.0,0.0,1498.4656,3.52428,0.0,0.0,599,17:59,652,18:52,0,0
55,fuel_1500,30,1,121,55,mandatory_split,2,5,"661,865,1831",596.9,17:57,596.9,17:57,616.9,18:17,0.0,0.0,1498.5906,3.26315,0.0,0.0,595,17:55,672,19:12,0,0
56,fuel_1500,31,1,126,56,mandatory_split,2,3,"641,1530,1959",379.4,14:19,379.4,14:19,399.4,14:39,0.0,0.0,1497.1642,3.16719,0.0,0.0,350,13:50,429,15:09,0,0
57,fuel_1500,32,1,128,57,mandatory_split,1,5,"1073,1310,1312,1840,2049",398.7,14:39,398.7,14:39,418.7,14:59,0.0,0.0,1249.5072,3.40253,0.0,0.0,398,14:38,479,15:59,0,0
58,fuel_1500,33,1,129,57,mandatory_split,2,5,"313,369,527,551,675,721,959,1141,1236,1246,1417,1582,1674,1747,1767,1922,2008,2030",398.7,14:39,398.7,14:39,418.7,14:59,0.0,0.0,1402.9315,4.10264,0.0,0.0,398,14:38,479,15:59,0,0
59,fuel_1500,34,1,130,57,mandatory_split,3,5,"479,512,813,948",398.7,14:39,398.7,14:39,418.7,14:59,0.0,0.0,1249.116,3.04475,0.0,0.0,398,14:38,479,15:59,0,0
60,fuel_1500,35,1,131,57,mandatory_split,4,5,"456,543,550,688,776,811,864,878,913,940,962,1095,1178,1491,1659,1680,1741,1772,1967,2020,2161",398.7,14:39,398.7,14:39,418.7,14:59,0.0,0.0,1247.5381,3.31334,0.0,0.0,398,14:38,479,15:59,0,0
61,fuel_1500,36,1,132,57,mandatory_split,5,5,1471,398.7,14:39,398.7,14:39,418.7,14:59,0.0,0.0,1460.5602,3.05127,0.0,0.0,398,14:38,479,15:59,0,0
62,fuel_1500,37,1,136,60,mandatory_split,1,4,"338,1230,1616",143.6,10:24,143.6,10:24,163.6,10:44,0.0,0.0,1499.6398,3.57051,0.0,0.0,143,10:23,216,11:36,0,0
63,fuel_1500,38,1,143,61,mandatory_split,4,4,"439,555,659,660,708,788,810,975,1067,1080,1108,1241,1251,1469,1535,1555,1838,2099,2143",259.5,12:20,259.5,12:20,279.5,12:40,0.0,0.0,1468.3959,6.95016,0.0,0.0,257,12:17,343,13:43,0,0
64,fuel_1500,39,1,153,65,mandatory_split,1,5,"358,381,557,631,755,782,1110,1265,1282,1317,1366,1392,1660,1732,1958,2062,2097",539.9,17:00,539.9,17:00,559.9,17:20,0.0,0.0,1498.1363,5.01876,0.0,0.0,477,15:57,563,17:23,0,0
65,fuel_1500,40,1,155,65,mandatory_split,3,5,1721,539.9,17:00,539.9,17:00,559.9,17:20,0.0,0.0,1266.0502,3.214783,0.0,0.0,477,15:57,563,17:23,0,0
66,fuel_1500,41,1,156,65,mandatory_split,4,5,"1725,1737,1930",539.9,17:00,539.9,17:00,559.9,17:20,0.0,0.0,1248.9692,3.36271,0.0,0.0,477,15:57,563,17:23,0,0
67,fuel_1500,42,1,157,65,mandatory_split,5,5,"460,531,541,568,569,633,640,649,722,723,807,888,904,916,993,1061,1135,1271,1281,1325,1403,1464,1576,1589,1913,1948,1950,2115,2141",539.9,17:00,539.9,17:00,559.9,17:20,0.0,0.0,1289.6413,4.2575,0.0,0.0,477,15:57,563,17:23,0,0
68,fuel_1500,43,1,158,68,mandatory_split,1,4,"699,1082,1605",707.2,19:47,707.2,19:47,727.2,20:07,0.0,0.0,1495.6782,3.40098,0.0,0.0,631,18:31,708,19:48,0,0
69,fuel_1500,44,1,160,68,mandatory_split,3,4,"646,832,1352,1532,1634",707.2,19:47,707.2,19:47,727.2,20:07,0.0,0.0,1498.165,3.19567,0.0,0.0,631,18:31,708,19:48,0,0
70,fuel_1500,45,1,161,68,mandatory_split,4,4,"372,703,1381,1827,2117",707.2,19:47,707.2,19:47,727.2,20:07,0.0,0.0,1498.6082,3.71238,0.0,0.0,631,18:31,708,19:48,0,0
71,fuel_1500,46,1,171,74,mandatory_split,2,3,561,364.9,14:05,364.9,14:05,384.9,14:25,0.0,0.0,1490.4,3.43674,0.0,0.0,311,13:11,370,14:10,0,0
72,fuel_1500,47,1,172,74,mandatory_split,3,3,"408,926,1128,1148,1226,1340,1371,1881,1989,1997,2036,2058",364.9,14:05,364.9,14:05,384.9,14:25,0.0,0.0,1493.528634,3.82901,0.0,0.0,311,13:11,370,14:10,0,0
73,fuel_3000,1,1,1,3,normal,1,1,"1,116,165,212,265",441.1,15:21,441.1,15:21,461.1,15:41,0.0,0.1,235.0181,0.70348,2666.9617,6.37186,393,14:33,441,15:21,0,1
73,fuel_3000,1,2,69,31,mandatory_split,1,3,"516,578,783,1185,1415,1688,1832",482.7,16:03,529.0,16:49,549.0,17:09,46.3,0.0,784.5707,1.64776,1882.391,4.7241,529,16:49,586,17:46,0,0
73,fuel_3000,1,3,31,78,normal,1,1,"487,657,698,793,908,945,1022,1121,1188,1199,1484,1559,1646,1655,1704,1707,1865,2060,2139,2152",615.3,18:15,714.0,19:54,734.0,20:14,98.7,0.0,1882.391,4.7241,0.0,0.0,714,19:54,775,20:55,0,0
74,fuel_3000,2,1,4,9,normal,1,1,"2,45,54,59,64,71,86,100,101,129,131,155,159,161,162,163,181,183,184,186,190,192,194,200,201,211,219,231,237,248,253,260,264,281,289,294,297",169.8,10:50,169.8,10:50,189.8,11:10,0.0,0.0,2577.339131,6.65072,334.852,0.73178,126,10:06,212,11:32,0,0
74,fuel_3000,2,2,14,30,normal,1,1,"1382,1439,1850,1961",214.9,11:35,214.9,11:35,234.9,11:55,0.0,0.0,334.852,0.73178,0.0,0.0,212,11:32,302,13:02,0,0
75,fuel_3000,3,1,6,12,normal,1,1,"33,99,105,115,154,195,223,229,274,276,277,284,288,300",420.2,15:00,420.2,15:00,440.2,15:20,0.0,0.0,1726.8416,4.521751,1270.2901,2.83364,415,14:55,470,15:50,0,0
75,fuel_3000,3,2,111,52,mandatory_split,5,5,451,502.6,16:23,502.6,16:23,522.6,16:43,0.0,0.0,1255.4001,2.79047,14.89,0.04317,425,15:05,512,16:32,0,0
75,fuel_3000,3,3,0,2,normal,1,1,189,646.5,18:47,646.5,18:47,666.5,19:07,0.0,0.0,14.89,0.04317,0.0,0.0,593,17:53,649,18:49,0,0
76,fuel_3000,4,1,11,25,normal,1,1,"1548,1778,2017,2074,2135",540.0,17:00,540.0,17:00,560.0,17:20,0.0,0.0,2528.1351,5.33839,0.0,0.0,499,16:19,569,17:29,0,0
77,fuel_3000,5,1,16,33,normal,1,1,"930,1311,1365,1669,1717,1774,1823,2055,2127",249.5,12:09,249.5,12:09,269.5,12:29,0.0,0.0,527.2666,1.37982,2038.7018,5.48784,166,10:46,251,12:11,0,0
77,fuel_3000,5,2,30,77,normal,1,1,"323,335,493,560,749,821,868,1198,1338,1368,1492,1760,1818,1820,1857,2090,2104",318.0,13:18,656.0,18:56,676.0,19:16,338.0,0.0,1968.2668,5.09682,70.435,0.39102,656,18:56,737,20:17,0,0
77,fuel_3000,5,3,44,91,normal,1,1,"1218,1239,1377,2079",681.5,19:21,681.5,19:21,701.5,19:41,0.0,82.5,70.435,0.39102,0.0,0.0,520,16:40,599,17:59,0,1
78,fuel_3000,6,1,19,37,normal,1,1,"443,582,923,1063,1254,1260,1292,1307,1357,1496,1531,1657,1871",109.3,09:49,109.3,09:49,129.3,10:09,0.0,0.0,564.949,1.8194,2315.13,7.36652,85,09:25,163,10:43,0,0
78,fuel_3000,6,2,32,79,normal,1,1,"320,523,554,587,602,697,728,853,1000,1303,1329,1395,1396,1775,1790,1829,1858",204.1,11:24,204.1,11:24,224.1,11:44,0.0,39.1,2315.13,7.36652,0.0,0.0,95,09:35,165,10:45,0,1
79,fuel_3000,7,1,21,40,normal,1,1,"314,663,763,906,997,1005,1140,1473,1537,1562,1637,1654,1685,1757,1836,1897,2006",593.8,17:54,593.8,17:54,613.8,18:14,0.0,0.0,2691.1358,7.9507,0.0,0.0,592,17:52,664,19:04,0,0
80,fuel_3000,8,1,22,41,normal,1,1,"316,405,473,544,589,591,593,683,686,830,843,952,968,984,994,1008,1029,1233,1238,1286,1297,1346,1362,1656,1679,1715,1719,1730,1804,1805,1964,1984,2075,2138,2159",351.0,13:51,351.0,13:51,371.0,14:11,0.0,0.0,2786.4185,7.943983,0.0,0.0,278,12:38,351,13:51,0,0
81,fuel_3000,9,1,23,47,normal,1,1,"339,363,393,445,453,492,501,503,567,574,638,736,775,879,881,907,953,967,1048,1081,1094,1301,1358,1400,1414,1542,1622,1625,1630,1635,1649,1652,1716,1752,1917,2023,2033,2126",655.3,18:55,655.3,18:55,675.3,19:15,0.0,0.0,2803.414845,8.09606,0.0,0.0,655,18:55,715,19:55,0,0
82,fuel_3000,10,1,24,58,normal,1,1,"382,407,436,441,495,499,514,549,620,672,780,812,849,872,896,905,983,991,1076,1089,1096,1255,1261,1276,1308,1309,1319,1344,1380,1450,1528,1560,1581,1768,1780,1859,1890,1955,1985,1986,2037,2040,2102,2105",378.4,14:18,378.4,14:18,398.4,14:38,0.0,0.0,2933.964,9.833463,0.0,0.0,378,14:18,443,15:23,0,0
83,fuel_3000,11,1,25,66,normal,1,1,"324,370,507,529,618,732,765,808,854,862,875,1023,1056,1088,1133,1249,1275,1388,1441,1455,1490,1512,1523,1574,1663,1683,1696,1758,1769,1798,1803,1846,2068,2069,2073,2140,2149,2158",107.3,09:47,107.3,09:47,127.3,10:07,0.0,0.0,2825.778817,8.6796,85.2,0.1931,70,09:10,153,10:33,0,0
83,fuel_3000,11,2,8,16,normal,1,1,"518,760,1401",138.1,10:18,138.1,10:18,158.1,10:38,0.0,0.0,85.2,0.1931,0.0,0.0,77,09:17,161,10:41,0,0
84,fuel_3000,12,1,26,67,normal,1,1,"330,352,356,490,564,741,769,802,826,852,859,861,995,1004,1009,1120,1155,1162,1174,1202,1231,1247,1314,1327,1341,1373,1429,1502,1519,1534,1572,1592,1640,1647,1682,1689,1739,1742,1744,1755,1915,1935,1943,1978,1992,2025,2066,2094,2111,2157",734.5,20:14,734.5,20:14,754.5,20:34,0.0,0.0,2885.641443,8.92494,0.0,0.0,652,18:52,736,20:16,0,0
